name,de_price,uk_price,nl_price,acceleration_0-100km/h,top_speed,range,efficiency,fastcharge,towing_capacity(kg),availability
VolvoC40 Recharge Single Motor,"€47,500","£48,355","€50,995",7.3 sec,180 km/h,355 km,186 Wh/km,430 km/h,1500,Available to order since December 2022
ElarisBEO 86 kWh,"€53,090",N/A,N/A,8.0 sec,150 km/h,390 km,208 Wh/km,290 km/h,,Available to order since February 2023
FordMustang Mach-E GT,"€77,300","* £68,000","€79,200",3.7 sec,200 km/h,425 km,214 Wh/km,380 km/h,750,Available to order since October 2023
MercedesEQB 350 4MATIC,"€58,197","* £57,000","€69,728",6.2 sec,160 km/h,345 km,193 Wh/km,500 km/h,1700,Available to order since October 2023
VolvoEX90 Twin Motor Performance,"€110,650","£100,555","€98,495",4.9 sec,180 km/h,450 km,238 Wh/km,590 km/h,2200,Available to order since December 2022
Peugeote-3008 73 kWh Dual Motor,"* €50,000","* £44,000","* €50,000",6.0 sec,170 km/h,370 km,197 Wh/km,430 km/h,,Availability not found
DS3 E-Tense,"€40,540","£37,200","€42,140",9.0 sec,150 km/h,300 km,169 Wh/km,480 km/h,,Available to order since November 2022
ORAFunky Cat GT,"€49,490",N/A,N/A,8.2 sec,160 km/h,330 km,180 Wh/km,230 km/h,,Available to order since April 2023
GenesisG80 Electrified Luxury,"€69,200","£69,805",N/A,4.9 sec,225 km/h,440 km,188 Wh/km,880 km/h,,Available to order since June 2022
MercedesEQB 300 4MATIC,"€55,519","* £55,000","€61,379",8.0 sec,160 km/h,345 km,193 Wh/km,500 km/h,1700,Available to order since October 2023
Polestar2 Long Range Performance,"€65,275","£57,950","€66,400",4.2 sec,205 km/h,450 km,176 Wh/km,670 km/h,1500,Available to order since January 2023
AudiQ8 e-tron Sportback 50 quattro,"€76,650","£70,300","€73,785",6.0 sec,200 km/h,445 km,200 Wh/km,690 km/h,1800,Available to order since December 2022
XPENGP7 AWD Performance,N/A,N/A,"€61,188",4.1 sec,200 km/h,460 km,180 Wh/km,640 km/h,,Available to order since February 2023
MaseratiGrecale Folgore,N/A,"* £135,000","* €150,000",4.1 sec,220 km/h,405 km,235 Wh/km,440 km/h,,Availability not found
VolvoEX90 Single Motor,N/A,N/A,"€83,495",8.4 sec,180 km/h,460 km,220 Wh/km,600 km/h,1200,Available to order since July 2023
LexusUX 300e,N/A,"£47,495",N/A,7.5 sec,160 km/h,340 km,188 Wh/km,170 km/h,,Available to order since April 2023
PorscheTaycan,"€93,139","£79,200","€98,663",5.4 sec,230 km/h,420 km,169 Wh/km,1030 km/h,,Available to order since January 2023
VolkswagenID.5 GTX,"€56,455","£55,365","* €64,000",5.5 sec,180 km/h,430 km,179 Wh/km,640 km/h,1200,Available to order since October 2023
AudiQ4 Sportback e-tron 55 quattro,"€61,000",N/A,"€66,665",5.4 sec,180 km/h,415 km,186 Wh/km,620 km/h,1400,Available to order since September 2023
GenesisGV70 Electrified Sport,"€67,300","£65,105",N/A,4.2 sec,235 km/h,350 km,211 Wh/km,860 km/h,1800,Available to order since October 2022
MercedesEQT 200 Standard,"€49,445",N/A,"€47,753",12.6 sec,132 km/h,225 km,200 Wh/km,230 km/h,1500,Available to order since June 2023
AudiQ4 e-tron 45 quattro,"€54,950",N/A,"€56,865",6.6 sec,180 km/h,395 km,195 Wh/km,590 km/h,1400,Available to order since September 2023
AudiQ4 Sportback e-tron 45 quattro,"€56,950",N/A,"€58,915",6.6 sec,180 km/h,415 km,186 Wh/km,620 km/h,1400,Available to order since September 2023
AudiQ4 Sportback e-tron 50 quattro,N/A,"£58,510",N/A,6.2 sec,180 km/h,400 km,192 Wh/km,570 km/h,1200,Available to order since August 2021
MercedesEQE 350,"€70,995","£77,345","€83,238",6.4 sec,210 km/h,515 km,173 Wh/km,650 km/h,750,Available to order since June 2023
MiniCountryman SE ALL4,"* €50,000","£47,180","* €53,000",5.6 sec,180 km/h,370 km,175 Wh/km,530 km/h,1200,Availability not found
MercedesEQS SUV 500 4MATIC,"€124,545",N/A,N/A,5.2 sec,210 km/h,490 km,221 Wh/km,730 km/h,1800,Available to order since December 2022
PorscheTaycan 4S Plus,"€120,081","£94,996","€126,395",4.0 sec,250 km/h,480 km,174 Wh/km,1180 km/h,,Available to order since January 2023
OpelVivaro-e Combi M 75 kWh,"€56,942",N/A,"€57,123",13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since October 2020
FordMustang Mach-E SR AWD,N/A,"* £56,000","€63,400",6.2 sec,180 km/h,350 km,207 Wh/km,430 km/h,750,Available to order since October 2023
NissanAriya e-4ORCE 87kWh - 290 kW,"€71,490",N/A,"€64,990",5.1 sec,200 km/h,405 km,215 Wh/km,480 km/h,1500,Available to order since April 2023
MercedesEQS SUV 450 4MATIC,"€114,609","£129,470",N/A,6.0 sec,210 km/h,490 km,221 Wh/km,730 km/h,1800,Available to order since December 2022
ToyotaProace City Verso Electric L2 50 kWh,"€40,150",N/A,"€46,895",11.2 sec,135 km/h,205 km,226 Wh/km,330 km/h,750,Available to order since April 2022
Fiat500e 3+1 24 kWh,N/A,N/A,"€30,990",9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,,Available to order since July 2022
SkodaEnyaq Coupe 60,N/A,N/A,"€47,990",8.8 sec,160 km/h,355 km,163 Wh/km,480 km/h,1000,Available to order since October 2023
MercedesEQE 500 4MATIC,"€88,215",N/A,"€113,488",4.7 sec,210 km/h,505 km,179 Wh/km,750 km/h,750,Available to order since June 2023
AudiSQ8 e-tron Sportback,"€98,050","£100,000","€101,535",4.5 sec,210 km/h,480 km,221 Wh/km,610 km/h,1800,Available to order since May 2023
ToyotaProace City Verso Electric L1 50 kWh,"€37,800",N/A,"€45,495",11.2 sec,135 km/h,210 km,220 Wh/km,330 km/h,750,Available to order since April 2022
MercedesEQS 500 4MATIC,"€125,378",N/A,N/A,4.8 sec,210 km/h,590 km,184 Wh/km,880 km/h,750,Available to order since June 2023
Fiat500e Cabrio 42 kWh,"€37,990","£34,195","€37,490",9.0 sec,150 km/h,230 km,162 Wh/km,380 km/h,,Available to order since November 2020
SkodaEnyaq RS,"€61,050","£53,120",N/A,5.5 sec,180 km/h,435 km,177 Wh/km,650 km/h,1200,Available to order since September 2023
VinFastVF 8 Eco Extended Range,"€52,990",N/A,"€53,900",5.9 sec,200 km/h,425 km,206 Wh/km,550 km/h,,Available to order since November 2023
Peugeote-Rifter Long 50 kWh,"€42,440","£35,120","€41,430",11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,750,Available to order since July 2021
MercedesEQE SUV AMG 53 4MATIC+,"€139,438","£133,860","€149,788",3.5 sec,240 km/h,410 km,221 Wh/km,610 km/h,1800,Available to order since May 2023
PorscheTaycan 4 Cross Turismo,"€103,254","£88,200","€109,064",5.1 sec,220 km/h,440 km,190 Wh/km,1080 km/h,,Available to order since January 2023
MercedesEQE SUV 350 4MATIC,"€89,548",N/A,"€99,089",6.6 sec,210 km/h,435 km,208 Wh/km,550 km/h,1800,Available to order since October 2023
OpelCombo-e Life 50 kWh,"€43,050","£34,085","€39,434",11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,750,Available to order since October 2021
MiniCooper SE Convertible,N/A,"£52,500","€62,990",8.2 sec,150 km/h,165 km,175 Wh/km,230 km/h,,Available to order since February 2023
NIOEL6 75 kWh,"€65,500",N/A,"€67,900",4.5 sec,200 km/h,350 km,201 Wh/km,470 km/h,1200,Available to order since July 2023
MercedesEQE SUV AMG 43 4MATIC,"€124,920",N/A,"€130,791",4.3 sec,210 km/h,415 km,218 Wh/km,620 km/h,1800,Available to order since December 2022
Peugeote-Expert Combi Standard 75 kWh,"€57,940",N/A,"€57,367",14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since February 2021
ToyotaPROACE Verso M 75 kWh,"€64,530",N/A,N/A,13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since October 2021
Smart#1 Pulse,"€46,490",N/A,N/A,3.9 sec,180 km/h,320 km,194 Wh/km,490 km/h,1600,Available to order since June 2023
AiwaysU6,"€47,588",N/A,"€48,975",7.0 sec,160 km/h,350 km,171 Wh/km,430 km/h,,Available to order since December 2022
Abarth500e Hatchback,"€37,990","£34,195","€38,490",7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,,Available to order since May 2023
ToyotaPROACE Verso L 75 kWh,"€65,385",N/A,"€77,445",13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since October 2021
PorscheTaycan GTS Sport Turismo,"€140,858","£111,200","€147,563",3.7 sec,250 km/h,425 km,197 Wh/km,1050 km/h,,Available to order since February 2022
Citroene-Jumpy Combi M 75 kWh,"€57,940",N/A,"€57,022",13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since November 2020
Kiae-Soul 39.2 kWh,N/A,"£32,845","€37,295",9.9 sec,157 km/h,230 km,170 Wh/km,200 km/h,,Available to order since September 2022
PorscheTaycan 4S,"€114,559","£90,700","€120,564",4.0 sec,250 km/h,415 km,171 Wh/km,1020 km/h,,Available to order since January 2023
MercedesEQE SUV 300,"€83,479",N/A,N/A,7.6 sec,210 km/h,450 km,201 Wh/km,570 km/h,750,Available to order since October 2023
Abarth500e Convertible,"€40,990","£37,195","€41,490",7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,,Available to order since May 2023
PorscheTaycan 4S Cross Turismo,"€119,914","£95,200","€126,064",4.1 sec,240 km/h,440 km,190 Wh/km,1080 km/h,,Available to order since January 2023
Citroene-SpaceTourer M 50 kWh,"€53,640","£37,045","€57,083",12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since November 2020
PorscheTaycan Sport Turismo,"€94,091","£80,200","€99,563",5.4 sec,230 km/h,380 km,187 Wh/km,930 km/h,,Available to order since March 2022
MercedesEQE AMG 53 4MATIC+,"€110,706","£114,750","€128,613",3.5 sec,220 km/h,465 km,195 Wh/km,690 km/h,750,Available to order since June 2023
MercedeseVito Tourer Extra-Long 90 kWh,"€65,140","£83,850",N/A,12.0 sec,160 km/h,305 km,295 Wh/km,310 km/h,,Available to order since October 2020
PorscheTaycan Turbo,"€164,420","£125,800","€171,763",3.2 sec,260 km/h,445 km,188 Wh/km,1090 km/h,,Available to order since January 2023
GenesisGV60 Sport,"€63,200","£58,365",N/A,5.5 sec,200 km/h,380 km,195 Wh/km,990 km/h,1600,Available to order since June 2022
Peugeote-Rifter Standard 50 kWh,"€41,240","£33,120","€39,620",11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,750,Available to order since July 2021
OpelZafira-e Life L 75 kWh,"€70,075",N/A,"€68,134",13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since February 2021
GenesisGV60 Sport Plus,"€73,100","£67,505",N/A,4.0 sec,235 km/h,365 km,203 Wh/km,950 km/h,1600,Available to order since June 2022
MercedesEQV 300 Extra-Long,"€72,519",N/A,"€84,809",12.1 sec,160 km/h,310 km,290 Wh/km,310 km/h,,Available to order since October 2020
MercedesEQA 300 4MATIC,"€53,520","* £53,000","€58,959",7.7 sec,160 km/h,355 km,187 Wh/km,510 km/h,1800,Available to order since October 2023
MercedesEQE AMG 43 4MATIC,"€104,756",N/A,"€111,068",4.2 sec,210 km/h,465 km,195 Wh/km,690 km/h,750,Available to order since June 2023
Peugeote-Expert Combi Long 75 kWh,"€58,730",N/A,"€59,303",14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since February 2021
HongqiE-HS9 120 kWh,N/A,N/A,"€102,995",4.9 sec,200 km/h,460 km,243 Wh/km,420 km/h,1500,Available to order since September 2023
FiatE-Ulysse L3 75 kWh,"€62,990",N/A,N/A,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since June 2022
Fiat500e Cabrio 24 kWh,"€35,490",N/A,"€31,990",9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,,Available to order since July 2022
PorscheTaycan Plus Sport Turismo,"€99,815","£84,654","€105,607",5.4 sec,230 km/h,445 km,188 Wh/km,1090 km/h,,Available to order since March 2022
PorscheTaycan Turbo Cross Turismo,"€165,848","£126,800","€173,264",3.3 sec,250 km/h,425 km,197 Wh/km,1050 km/h,,Available to order since January 2023
Peugeote-Traveller Long 75 kWh,"€60,430",N/A,"€68,378",14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since February 2021
Citroene-Jumpy Combi M 50 kWh,"€51,940",N/A,"€48,008",12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since November 2020
Peugeote-Traveller Standard 50 kWh,"€53,640","£42,785","€57,428",13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since November 2020
NIOEL7 75 kWh,"€85,900",N/A,"€88,900",3.9 sec,200 km/h,340 km,207 Wh/km,460 km/h,2000,Available to order since December 2022
PorscheTaycan Turbo S Sport Turismo,"€198,692","£149,300","€207,163",2.8 sec,260 km/h,395 km,212 Wh/km,970 km/h,,Available to order since March 2022
VinFastVF 8 Plus Extended Range,"€58,890",N/A,"€59,790",5.5 sec,200 km/h,425 km,206 Wh/km,550 km/h,,Available to order since November 2023
Peugeote-Traveller Standard 75 kWh,"€59,640",N/A,"€66,442",14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since February 2021
PorscheTaycan Turbo S Cross Turismo,"€199,168","£149,300","€207,664",2.9 sec,250 km/h,410 km,204 Wh/km,1010 km/h,,Available to order since January 2023
OpelZafira-e Life M 50 kWh,"€63,250","£42,735","€57,183",12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since November 2020
MercedesEQV 250 Long,"€68,056",N/A,N/A,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,,Available to order since October 2021
Citroene-SpaceTourer M 75 kWh,"€59,640",N/A,"€66,097",13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since February 2021
Citroene-Berlingo XL 50 kWh,"€43,640","£33,315","€43,556",11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,750,Available to order since September 2021
Citroene-Jumpy Combi XL 75 kWh,"€58,730",N/A,"€58,958",13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since November 2020
OpelCombo-e Life XL 50 kWh,"€44,750","£34,685",N/A,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,750,Available to order since October 2021
MercedeseVito Tourer Long 60 kWh,"€60,678",N/A,N/A,12.0 sec,160 km/h,210 km,286 Wh/km,310 km/h,,Available to order since January 2022
Citroene-SpaceTourer XL 75 kWh,"€60,430",N/A,"€68,033",13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since February 2021
Peugeote-Expert Combi Long 50 kWh,"€52,730",N/A,"€50,289",13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since February 2021
ToyotaPROACE Shuttle L 50 kWh,N/A,N/A,"€68,595",12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,1000,Available to order since June 2021
ToyotaPROACE Shuttle M 75 kWh,N/A,N/A,"€60,095",13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since June 2021
PorscheTaycan 4S Plus Sport Turismo,"€120,081","£95,996","€127,294",4.0 sec,250 km/h,430 km,195 Wh/km,1060 km/h,,Available to order since March 2022
MercedeseVito Tourer Extra-Long 60 kWh,"€61,571",N/A,N/A,12.0 sec,160 km/h,205 km,293 Wh/km,300 km/h,,Available to order since January 2022
OpelVivaro-e Combi M 50 kWh,"€50,992","£36,995","€48,108",12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since October 2020
ToyotaPROACE Shuttle M 50 kWh,N/A,N/A,"€58,895",12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since June 2021
Citroene-SpaceTourer XL 50 kWh,"€54,430","£37,885","€59,019",12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,1000,Available to order since November 2020
FiatE-Ulysse L2 75 kWh,"€61,990",N/A,N/A,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since June 2022
OpelVivaro-e Combi L 75 kWh,"€57,775",N/A,"€59,059",13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since October 2020
PorscheTaycan 4S Sport Turismo,"€114,559","£91,700","€121,463",4.0 sec,250 km/h,370 km,192 Wh/km,910 km/h,,Available to order since March 2022
Peugeote-Expert Combi Standard 50 kWh,"€51,940",N/A,"€48,353",13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since February 2021
MercedesEQV 250 Extra-Long,"€68,949",N/A,N/A,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,,Available to order since October 2021
PorscheTaycan Turbo Sport Turismo,"€165,372","£126,800","€172,863",3.2 sec,260 km/h,405 km,207 Wh/km,1000 km/h,,Available to order since March 2022
OpelVivaro-e Combi L 50 kWh,"€51,825","£37,835","€50,044",12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,1000,Available to order since October 2020
OpelZafira-e Life L 50 kWh,"€64,075","£43,575","€59,119",12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,1000,Available to order since November 2020
Peugeote-Traveller Long 50 kWh,"€54,430","£43,625","€59,364",13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since November 2020
ToyotaPROACE Shuttle L 75 kWh,N/A,N/A,"€69,795",13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,1000,Available to order since June 2021
OpelZafira-e Life M 75 kWh,"€69,250",N/A,"€66,198",13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,1000,Available to order since February 2021
FiatE-Ulysse L2 50 kWh,"€55,990",N/A,N/A,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,1000,Available to order since June 2022
FiatE-Ulysse L3 50 kWh,"€56,990",N/A,N/A,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,1000,Available to order since June 2022
Citroene-Jumpy Combi XL 50 kWh,"€52,730",N/A,"€49,944",12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,1000,Available to order since November 2020
